0.00000000e+00   0   1.59681709e+01   1   6.80690420e+02   2   6.81430518e+02   3   7.02342546e+02   4   8.48318293e+02   5   8.48582636e+02   6   
0.00000000e+00   0   1.30047706e+01   1   5.35211152e+02   2   5.35769564e+02   3   5.48357603e+02   4   6.50491732e+02   5   6.50680164e+02   6   
0.00000000e+00   0   1.06358284e+01   1   4.39621318e+02   2   4.40041802e+02   3   4.48127282e+02   4   5.20399066e+02   5   5.20548463e+02   6   
0.00000000e+00   0   8.93139767e+00   1   3.62289036e+02   2   3.62610164e+02   3   3.68483366e+02   4   4.23362292e+02   5   4.23471631e+02   6   
0.00000000e+00   0   7.79448327e+00   1   3.05430428e+02   2   3.05695295e+02   3   3.10045802e+02   4   3.52676214e+02   5   3.52769507e+02   6   
0.00000000e+00   0   6.68577615e+00   1   2.59784563e+02   2   2.60005758e+02   3   2.63367723e+02   4   2.97852967e+02   5   2.97925819e+02   6   
0.00000000e+00   0   5.71020628e+00   1   2.24491168e+02   2   2.24680116e+02   3   2.27324323e+02   4   2.55689343e+02   5   2.55754002e+02   6   
0.00000000e+00   0   5.38138864e+00   1   1.95821493e+02   2   1.95977517e+02   3   1.98122998e+02   4   2.21853508e+02   5   2.21906209e+02   6   
0.00000000e+00   0   4.72526950e+00   1   1.72403014e+02   2   1.72540745e+02   3   1.74309738e+02   4   1.94394787e+02   5   1.94443408e+02   6   
0.00000000e+00   0   4.07020383e+00   1   1.52653922e+02   2   1.52773053e+02   3   1.54273432e+02   4   1.71712405e+02   5   1.71754734e+02   6   
0.00000000e+00   0   3.69102729e+00   1   1.36329616e+02   2   1.36436062e+02   3   1.37671060e+02   4   1.52741664e+02   5   1.52780588e+02   6   
0.00000000e+00   0   2.91837111e+00   1   1.11301266e+02   2   1.11390062e+02   3   1.12434313e+02   4   1.24883345e+02   5   1.24916763e+02   6   
0.00000000e+00   0   2.84206464e+00   1   1.01065772e+02   2   1.01145570e+02   3   1.02052402e+02   4   1.13063779e+02   5   1.13094500e+02   6   
0.00000000e+00   0   2.92164769e+00   1   1.06200742e+02   2   1.06277993e+02   3   1.07130151e+02   4   1.18032740e+02   5   1.18064160e+02   6   
