B;884431017335027;0;RLO_BEGIN;5.042532;0:2.962e+01:0.000e+00:0.000e+00:1:0:2.807636e+01:2.751353e+01:1:2.924e+01:0.000e+00:0.000e+00:1:0:2.449752e+01:2.734903e+01:1.01321:3:72.3931:0.00202414
B;884431017335027;0;MERGER;5.116600;0:2.914e+01:0.000e+00:0.000e+00:1:0:1:2.926e+01:0.000e+00:0.000e+00:1:0:58.394
S;884431017335027;0;SN;5.562094;23.4973:23.4146:20.1116:22.9973:6:549.324:0:0:-0:-0
B;334418027610598;1;RLO_BEGIN;6.315655;0:2.480e+01:9.037e+00:0.000e+00:3:0:1.115813e+02:1.073580e+02:1:9.259e+00:0.000e+00:0.000e+00:1:0:4.224906e+00:6.857869e+01:2.67863:4:230.377:0.0229484
B;334418027610598;1;COLLISION;6.316864;0:24.6558:221.63:3:1:9.34231:4.25345:1:227.736:0.0167435:105.827:68.0545
B;334418027610598;1;MERGER;6.316782;0:2.466e+01:9.063e+00:0.000e+00:3:0:1:9.342e+00:0.000e+00:0.000e+00:1:0:33.9981
S;334418027610598;0;SN;6.936118;19.2534:10.5627:7.99276:11.8253:6:359.543:29.3927:-20.0996:-10.624:18.6296
B;440888489304380;2;RLO_BEGIN;5.099512;0:2.555e+01:0.000e+00:0.000e+00:1:0:1.281992e+01:1.275030e+01:1:1.976e+01:0.000e+00:0.000e+00:1:0:8.364248e+00:1.133818e+01:1.29301:3:31.7684:0
B;440888489304380;2;MERGER;5.546308;0:2.012e+01:0.000e+00:0.000e+00:1:0:1:2.342e+01:0.000e+00:0.000e+00:1:0:43.5357
S;440888489304380;0;SN;6.546973;11.0976:10.9539:9.02655:8.19182:6:397.096:18.3317:-1.79775:-8.64008:-16.0676
S;162572257951045;0;SN;4.014486;13.7628:13.6491:11.1915:13.2628:6:300.309:0:0:-0:0
B;162572257951045;3;BSN;4.014486;0:1.376e+01:1.365e+01:1.119e+01:6:0:1:2.144e+01:2.118e+01:0.000e+00:4:0:7426.65:0.402239:7639.71:0.416453:-0:15.6258
S;162572257951045;1;SN;4.298537;11.527:11.3894:9.37637:8.95492:6:739.096:27.6275:-4.66276:-10.0174:-25.3217
B;162572257951045;3;BSN;4.298537;1:1.153e+01:1.139e+01:9.376e+00:6:0:0:1.326e+01:0.000e+00:0.000e+00:7:6:10610.6:0.416453:nan:nan:nan:nan
S;573666033498544;0;SN;5.764687;11.0123:10.5308:8.3686:7.33429:6:415.118:27.0928:14.3938:-14.3647:17.9023
B;573666033498544;4;BSN;5.764687;0:1.101e+01:1.053e+01:8.369e+00:6:0:1:1.318e+01:0.000e+00:0.000e+00:1:0:5614.79:0.0861364:5234.31:0.456887:-0.763342:8.23753
S;573666033498544;1;SN;16.072439;11.9578:4.03023:2.34482:1.23552:5:353.723:399.504:-178.087:351.99:63.1826
B;573666033498544;4;BSN;16.072439;1:1.196e+01:4.030e+00:2.345e+00:6:0:0:7.344e+00:0.000e+00:0.000e+00:7:6:5437.43:0.439298:nan:nan:nan:nan
B;780495128601013;5;RLO_BEGIN;6.282844;0:2.485e+01:9.152e+00:0.000e+00:3:0:3.333320e+02:3.254309e+02:1:1.572e+01:0.000e+00:0.000e+00:1:0:7.151608e+00:2.640634e+02:1.58055:4:776.527:0.499962
B;780495128601013;5;COLLISION;6.283179;0:24.8455:405.552:3:1:15.727:7.1518:1:697.46:0.412392:292.266:237.204
B;780495128601013;5;MERGER;6.283130;0:2.485e+01:9.171e+00:0.000e+00:3:0:1:1.573e+01:0.000e+00:0.000e+00:1:0:40.5725
S;780495128601013;0;SN;6.901321;22.9939:10.6295:7.99276:14.0698:6:196.901:16.2537:5.23148:-14.6964:-4.5639
S;707394958051991;0;SN;3.542061;14.4516:14.4371:12.0528:13.9516:6:308.846:0:-0:-0:0
B;707394958051991;6;BSN;3.542061;0:1.445e+01:1.444e+01:1.205e+01:6:0:1:9.244e+00:0.000e+00:0.000e+00:1:0:462.917:0.0446916:474.089:0.0671524:-0:61.2916
B;707394958051991;6;RLO_BEGIN;26.557207;1:9.136e+00:1.639e+00:0.000e+00:3:0:1.675238e+02:1.629352e+02:0:1.395e+01:0.000e+00:0.000e+00:7:6:5.925965e-05:1.976781e+02:0.654831:0.7682:475.144:0.0482529
S;707394958051991;1;HENAKED;27.014149;2.19583:2.08986:0:284.671:0.366847:4:9.032:2.13072:0
B;707394958051991;6;RLO_END;27.057687;1:2.106e+00:2.106e+00:0.000e+00:4:0:3.668474e-01:1.621013e+02:0:1.401e+01:0.000e+00:0.000e+00:7:6:5.949660e-05:3.800957e+02:-6.99086:0.0331994:697.445:0
S;707394958051991;1;WD;29.683240;1.90058:1.90058:1.04171:1.04171:3
B;707394958051991;6;BSN;29.683240;1:1.901e+00:1.901e+00:1.042e+00:6:0:0:1.401e+01:0.000e+00:0.000e+00:7:6:706.343:0:749.079:0.057051:-0:1.24322
B;632903498053088;7;RLO_BEGIN;5.576062;0:2.653e+01:1.071e+01:0.000e+00:3:0:1.040978e+03:1.030095e+03:1:1.427e+01:0.000e+00:0.000e+00:1:0:6.133881e+00:7.763624e+02:1.85895:4:2376.26:0.00166863
B;632903498053088;7;CE;5.576062;0:2.649e+01:1.074e+01:0.000e+00:3:0:1:1.427e+01:0.000e+00:0.000e+00:1:0:2.376920e+03:1.631944e+03:0
S;632903498053088;0;HENAKED;5.576062;26.4942:10.7423:0:1062.5:0.963282:4:30.487:10.7423:0
B;632903498053088;7;RLO_END;5.576062;1:1.427e+01:0.000e+00:0.000e+00:1:0:6.134462e+00:6.588789e+02:0:1.074e+01:1.074e+01:0.000e+00:4:0:9.632819e-01:5.786975e+02:-2.45216e-06:1.71651e-06:1631.94:0
S;632903498053088;0;SN;6.127986;7.19481:7.19481:5.32695:2.64817:5:289.664:64.7234:49.6677:-5.85945:41.0842
B;632903498053088;7;BSN;6.127986;0:7.195e+00:7.195e+00:5.327e+00:6:0:1:1.427e+01:0.000e+00:0.000e+00:1:0:1898.19:0:1934.22:0.141974:-0.996956:10.1494
S;632903498053088;1;SN;13.930868;12.7191:4.54476:2.71091:1.32399:5:300.931:337.073:243.605:162.937:-166.512
B;632903498053088;7;BSN;13.930868;1:1.272e+01:4.545e+00:2.711e+00:6:0:0:2.653e+00:0.000e+00:0.000e+00:7:5:2074.9:2.32342e-06:nan:nan:nan:nan
B;890726687796682;8;RLO_BEGIN;7.128470;0:2.125e+01:0.000e+00:0.000e+00:1:0:1.592091e+01:1.537401e+01:1:1.101e+01:0.000e+00:0.000e+00:1:0:5.010968e+00:1.139203e+01:1.92973:3:35.1953:0
B;890726687796682;8;MERGER;9.859846;0:3.056e+00:0.000e+00:0.000e+00:1:0:1:2.332e+01:0.000e+00:0.000e+00:1:0:26.3734
S;890726687796682;0;SN;10.551233;13.1067:11.3271:8.80305:9.34142:6:176.896:9.27963:-0.62887:-9.23821:0.609554
B;412839012801887;9;RLO_BEGIN;2.675116;0:4.693e+01:0.000e+00:0.000e+00:1:0:2.025116e+01:1.977002e+01:1:1.247e+01:0.000e+00:0.000e+00:1:0:4.792731e+00:1.084052e+01:3.76466:3:39.8518:0
B;412839012801887;9;MERGER;2.587875;0:4.693e+01:0.000e+00:0.000e+00:1:0:1:1.247e+01:0.000e+00:0.000e+00:1:0:59.3984
S;412839012801887;0;SN;4.051028;13.923:13.8858:11.5263:13.423:6:311.954:0:0:0:0
B;466216429528650;10;RLO_BEGIN;1.458419;0:9.635e+01:0.000e+00:0.000e+00:1:0:2.925187e+01:2.788810e+01:1:5.908e+01:0.000e+00:0.000e+00:1:0:1.480702e+01:2.230831e+01:1.63089:3:66.1066:0
B;466216429528650;10;MERGER;1.575420;0:7.353e+01:0.000e+00:0.000e+00:1:0:1:7.211e+01:0.000e+00:0.000e+00:1:0:145.64
S;466216429528650;0;SN;2.957198;22.8234:22.7781:19.5329:22.3234:6:566.568:0:0:0:-0
B;533120383914579;11;RLO_BEGIN;4.269187;0:3.445e+01:0.000e+00:0.000e+00:1:0:3.103484e+01:3.011280e+01:1:1.143e+01:0.000e+00:0.000e+00:1:0:4.723295e+00:1.824206e+01:3.01356:3:63.2005:0
B;533120383914579;11;MERGER;4.227615;0:3.445e+01:0.000e+00:0.000e+00:1:0:1:1.143e+01:0.000e+00:0.000e+00:1:0:45.8854
S;533120383914579;0;SN;4.922868;14.2362:14.1625:11.7912:13.7362:6:206.5:0:-0:-0:-0
B;153604895132178;12;RLO_BEGIN;4.951354;0:2.791e+01:0.000e+00:0.000e+00:1:0:1.394245e+02:1.369474e+02:1:2.681e+01:0.000e+00:0.000e+00:1:0:1.512027e+01:1.344559e+02:1.041:3:358.122:0.518347
B;153604895132178;12;COLLISION;5.009095;0:24.3857:234.883:3:1:28.7614:16.682:1:250.222:0:91.262:98.4092
B;153604895132178;12;CE;5.008920;0:2.439e+01:1.182e+01:0.000e+00:3:0:1:2.876e+01:0.000e+00:0.000e+00:1:0:2.502220e+02:2.337941e+02:0
S;153604895132178;0;HENAKED;5.008920;24.3857:11.8163:0:234.883:1.0525:4:35.697:11.8163:0
B;153604895132178;12;RLO_END;5.008920;1:2.876e+01:0.000e+00:0.000e+00:1:0:1.668199e+01:1.069593e+02:0:1.182e+01:1.182e+01:0.000e+00:4:0:1.052504e+00:7.134200e+01:-2.34066:1.63846:233.794:0
S;153604895132178;0;SN;5.531385;7.81998:7.81998:5.93942:3.28945:6:253.433:45.4269:12.1391:42.1225:11.9138
